"ALIAS","ENSEMBL","ENTREZID"
"SLC10A3","ENSG00000126903","8273"
"SLC12A7","ENSG00000113504","10723"
"SLC12A7","ENSG00000276482","10723"
"SLC15A3","ENSG00000110446","51296"
"SLC16A10","ENSG00000112394","117247"
"SLC27A3","ENSG00000143554","11000"
"SLC27A3","ENSG00000263163","11000"
"SLC27A5","ENSG00000083807","10998"
"SLC31A2","ENSG00000136867","1318"
"SLC35G2","ENSG00000168917","80723"
"SLIT1","ENSG00000187122","6585"
"SLIT1","ENSG00000184347","6586"
"SMARCA4","ENSG00000127616","6597"
"SMPD3","ENSG00000103056","55512"
"SNAP91","ENSG00000065609","9892"
"SNX21","ENSG00000124104","90203"
"SOAT1","ENSG00000057252","6646"
"SOCS3","ENSG00000184557","9021"
"SOD2","ENSG00000112096","6648"
"SORCS3","ENSG00000156395","22986"
"SOX11","ENSG00000176887","6664"
"SPG3A","ENSG00000198513","51062"
"SPRY2","ENSG00000136158","10253"
"SRPX2","ENSG00000102359","27286"
"SS18L1","ENSG00000184402","26039"
"STAT5A","ENSG00000126561","6776"
"STAT6","ENSG00000166888","6778"
"STEAP3","ENSG00000115107","55240"
"SUSD5","ENSG00000173705","26032"
"TAF4","ENSG00000130699","6874"
"TAF4","ENSG00000280529","6874"
"TAGLN2","ENSG00000158710","8407"
"TDRKH","ENSG00000182134","11022"
"TGFBI","ENSG00000120708","7045"
"TGOLN2","ENSG00000152291","10618"
"THRA","ENSG00000126351","7067"
"TIMP1","ENSG00000102265","7076"
"TKTL2","ENSG00000151005","84076"
"TLE2","ENSG00000065717","7089"
"TMBIM1","ENSG00000135926","64114"
"TMCC1","ENSG00000172765","23023"
"TMEFF2","ENSG00000144339","23671"
"TMEM121","ENSG00000184986","80757"
"TMEM154","ENSG00000170006","201799"
"TMEM43","ENSG00000170876","79188"
"TNFRSF11A","ENSG00000141655","8792"
"TNFRSF14","ENSG00000157873","8764"
"TNFRSF14","ENSG00000273936","8764"
"TNFRSF1B","ENSG00000028137","7133"
"TREM1","ENSG00000124731","54210"
"TRIM38","ENSG00000112343","10475"
"TRIM56","ENSG00000169871","81844"
"TRO","ENSG00000067445","7216"
"TRPM2","ENSG00000120885","1191"
"TRPM2","ENSG00000142185","7226"
"TSPAN9","ENSG00000011105","10867"
"TUG1",NA,"55000"
"UPP1","ENSG00000183696","7378"
"USP43","ENSG00000154914","124739"
"USP7","ENSG00000187555","7874"
"VAV3","ENSG00000134215","10451"
"VCL","ENSG00000035403","7414"
"VDR","ENSG00000111012","1594"
"VDR","ENSG00000111424","7421"
"WASF1","ENSG00000112290","8936"
"WIPI1","ENSG00000070540","55062"
"WSCD1","ENSG00000179314","23302"
"ZFYVE21","ENSG00000100711","79038"
"ZNF211","ENSG00000121417","10520"
"ZNF217","ENSG00000171940","7764"
"ZNF248","ENSG00000198105","57209"
"ZNF281","ENSG00000162702","23528"
"ZNF510","ENSG00000081386","22869"
"ZNF512B","ENSG00000196700","57473"
"ZNF638","ENSG00000075292","27332"
"ZNF711","ENSG00000147180","7552"
"ZNF821","ENSG00000102984","55565"
"ZNF85","ENSG00000105750","7639"
"ZNF85","ENSG00000278091","7639"
